"X","name","mzmed","mzmin","mzmax","rtmed","rtmin","rtmax","npeaks","NEG","maxint","X200STD_amide23_24DDA100.700_neg01","X200STD_amide23_24DDA100.700_neg02","X200STD_amide23_24DDA100.700_neg03","X200STD_amide23_24DDA100.700_neg04","num.ms1.spec","num.spec","isolation.warning","rt.extended","nhits.reverse_zhulib","hits.reverse_zhulib","nhits.forward_zhulib","hits.forward_zhulib"
1064,"M180T1338",180.030487774881,180.029868004087,180.031049571684,1338.355,1316.29,1356.83,20,3,589,1013.98928571427,1342.79166666667,1400.52315789476,1247.9882352941,0,0,FALSE,FALSE,"0","","0",""
1065,"M180T1373",180.03043567713,180.030104857059,180.030978192352,1373.03,1364.03,1379.34,9,3,512,1605.1478260869,1610.19590909092,2383.38928571423,1328.08777777777,0,0,FALSE,FALSE,"0","","0",""
1066,"M180T1299",180.030339009519,180.029979453023,180.031155246222,1299.37,1282.96,1313.72,13,3,608,2465.44058823532,3215.52000000005,1829.28947368417,1981.49230769232,0,0,FALSE,FALSE,"0","","0",""
1067,"M180T1271",180.030540247181,180.029920529351,180.030980586366,1270.97,1254.93,1280.88,8,2,576,2449.82470588238,2458.07999999996,4553.37696969703,384.120000000015,0,0,FALSE,FALSE,"0","","0",""
1068,"M180T390",180.028526393383,180.028402998159,180.028869236206,390.4605,390.066,390.85,4,4,3942,20651.271826087,24811.8690909091,24096.7406086956,23546.0632727273,3,4,FALSE,FALSE,"0","","0",""
1069,"M180T19",180.030865887861,180.029933447438,180.03140612938,18.764,9.558,32.266,5,2,632,1276.5006,3813.93147540984,2621.380725,2605.61874285714,3,11,TRUE,TRUE,"1","score{0.8417}adduct{(M+CH3COO)-}name{L-Cysteine}labid{S0046}","0",""
1070,"M180T477",180.049538063746,180.049016394612,180.049875255509,476.621,460.622,478.054,5,4,545,1462.55226666667,2701.3,2513.30314285714,2344.70361111111,0,0,FALSE,FALSE,"0","","0",""
1071,"M180T431",180.049145605007,180.048650319127,180.049578758374,431.213,430.684,432.437,4,4,1688,4264.9425,4275.00374999999,4393.58999999998,4395.39257142858,0,0,FALSE,FALSE,"0","","0",""
1072,"M180T700",180.058973858111,180.058707840095,180.059295325041,700.069,699.937,700.457,4,4,5598,26881.0666666666,33965.7571764705,31837.834875,32018.9552307691,0,0,FALSE,FALSE,"0","","0",""
1073,"M180T1369",180.065921389367,180.065875908751,180.066040856066,1368.78,1360.62,1374.27,4,2,503,1876.38171428568,1472.78333333337,1416.146,1651.97037037041,0,0,FALSE,FALSE,"0","","0",""
1074,"M180T368",180.066159561007,180.065888791385,180.066177716121,368.284,367.616,368.667,4,4,3304,17144.1717272727,14048.0637272727,15632.6119714286,13321.3435454545,4,3,FALSE,FALSE,"4","score{0.9487}adduct{M-}name{D-Mannose}labid{S0138};score{0.9334}adduct{M-}name{D-Allose}labid{S0353};score{0.8995}adduct{M-}name{Alpha-D-Glucose}labid{S0099};score{0.8519}adduct{M-}name{L-Sorbose}labid{S0376}","3","score{0.8567}adduct{M-}name{D-Mannose}labid{S0138};score{0.8429}adduct{M-}name{D-Allose}labid{S0353};score{0.8122}adduct{M-}name{Alpha-D-Glucose}labid{S0099}"
