name,mz,rt,adduct,X200STD_amide23_24DDA100.700_neg01,X200STD_amide23_24DDA100.700_neg02,X200STD_amide23_24DDA100.700_neg03,X200STD_amide23_24DDA100.700_neg04
M257T136,257.078283251243,135.792,[M-H]-,335398.572444445,357116.5455,290153.76108,362594.5215
M257T114,257.078005088883,114.282,[M-H]-,252774.384,265150.76447619,275706.172409091,238384.247
M258T845,258.038182746929,845.0885,[M-H]-,91740.1745000002,120587.311038461,133659.68923077,141933.090695652
M258T845,258.038182746929,845.0885,[M+CH3COO]-,91740.1745000002,120587.311038461,133659.68923077,141933.090695652
M258T289,258.055312180511,289.2815,[M-H]-,118763.87,108557.76464,107317.00425,110252.682666667
M259T864,259.022697315937,864.1495,[M-H]-,58392.0679999999,73753.2007500002,82065.2392608694,114583.616172414
M259T864,259.022697315937,864.1495,[M+CH3COO]-,58392.0679999999,73753.2007500002,82065.2392608694,114583.616172414
M259T828,259.022604795053,827.73,[M-H]-,22341.0258,25068.054,26117.0003333334,33573.1185882353
M259T828,259.022604795053,827.73,[M+CH3COO]-,22341.0258,25068.054,26117.0003333334,33573.1185882353
M259T788,259.045422367826,787.577,M-,5260.1132142857,7006.54971428571,7448.07824999998,9391.7265
M259T845,259.042004123758,845.0585,M-,6221.67999999998,1877.595,8703.38834999999,10462.4933636363
M261T420,261.108794952112,420.354,[2M-H]-,4907.15366666667,5359.63,4253.44569999999,4774.83576923077
M263T369,263.104159541456,368.6865,[M-H]-,256292.489285714,216780.297588235,218985.236444445,211457.770136363
M265T369,265.109468150324,369.0015,M-,4264.17600000001,3201.24053333333,3800.41799999999,3543.412125
M266T388,266.089490350436,387.706,[M-H]-,38155.94475,43327.692,45513.4577692307,47200.9564444445
M266T281,266.088919988864,281.204,[M-H]-,86731.7573559322,64413.9544242424,65703.2156666667,68629.7662916667
M267T897,267.047643096382,897.0655,[M-H]-,135248.781090909,57527.4830625,206695.377381356,301079.322153846
M267T366,267.073518087937,366.3395,[M-H]-,270091.9275,235201.912,232621.860714286,235095.873185185
M269T99,269.248050214397,98.705,[M-H]-,47978.6751428571,41269.0129090909,39194.8384090909,45146.1157419355
M269T60,269.248210017719,59.5655,[M-H]-,93183.2360425532,82989.9377727273,77733.4927659574,72539.9134545455
M269T11,269.24789022751,10.781,[M-H]-,25532.696946591,32390.4211573034,26932.8997321648,22339.819125
M279T63_2,279.232792842619,63.3245,[M-H]-,229686.278895238,240508.972039474,229947.622628571,233645.020571429
M280T221,280.105276282587,220.7005,[M-H]-,265582.525294118,231164.764258065,264095.883671642,225375.041983606
M280T442,280.103722181,441.9275,[M+CH3COO]-,51272.6615172414,54238.4095,49724.2635,58864.5385
M280T154,280.104923304009,154.3045,[M-H]-,116618.446636364,112326.673038462,66732.5830357144,101085.983272727
M280T476,280.103850017077,475.914,[M+CH3COO]-,32059.78,35287.853625,35336.5682941176,35821.1858333333
M281T173,281.024531502482,172.859,[M+K-2H]-,11542.6764,14804.8453913044,16200.786,17585.0833913043
M281T62,281.249229835084,61.7095,[M-H]-,431153.038380952,563291.653226277,360725.976714286,390747.938957447
M282T807,282.021137280496,807.406,[M+Na-2H]-,1176.601125,1076.0478,1661.77266666667,1463.13222222222
M282T700,282.033290305179,700.299,[M-H2O-H]-,2338.30215053763,2335.08218750001,2306.43713333334,2441.88000000001
M283T540,283.06837221274,539.541,[M-H]-,17624.8616666666,26593.1535217391,17200.1572105264,24792.8996250001
M283T99,283.265458044189,99.188,[M-H]-,2665474.63095,2222528.3912,2201941.0928,2637435.66710638
M284T270,284.088886503019,269.6125,[M-H]-,210172.360344827,140035.288580645,142627.4416,148307.630580645
M284T146,284.086728115966,146.041,[M-H]-,1810.48999999998,23996.543106383,12408.6566052632,13088.8855
M286T346,286.104408854695,345.601,[M+CH3COO]-,7203.39822222222,4456.47608823529,4271.57263157895,5636.10171428571
M289T857,289.116056122246,856.655,[M-H]-,285421.456304348,367604.497565219,380301.862416666,386260.38264
M291T891,291.071966392015,890.8325,[M-H2O-H]-,15481.4866071428,25106.9674571429,21167.74576,24111.5662857142
M291T812,291.083312037197,812.246,[M-H]-,21582.5941818182,32985.3935172414,27678.0764999999,25188.152
M293T612,293.113987867202,612.349,[M-H]-,17413.4483809524,18707.2775238095,20370.2183333332,20662.5872272728
M295T58,295.069516364683,57.985,[M+K-2H]-,14987.5823076923,11775.8786,10397.4217692308,8903.91323076923
M295T46,295.136947346843,46.1705,[2M-H]-,23567.3334,26134.3011428571,26060.6467058824,23454.81875
M295T62_1,295.228061576816,62.196,[2M-H]-,12872.1611904762,14566.0697727273,18990.1309047619,14132.7205
M296T168,296.081882872829,167.919,[M-H]-,287189.208432432,188831.736923077,187394.85408,238219.144555556
M296T134,296.082072794256,133.8655,[M-H]-,160615.504585366,147047.3044,168226.7821,178878.612108108
M296T559,296.099607109525,558.8805,[M-H]-,2000.10623076923,2692.5295,2668.95985714285,2764.99296
M303T808,303.082944225532,807.597,[M-H]-,32923.8522499999,39267.5805000001,44707.4669411765,41771.4607058826
M303T265,303.08322754942,265.283,[M+CH3COO]-,15764.1090697674,6899.69447619047,6716.43042857143,7301.01883333333
M303T63,303.233311848143,63.245,[M-H]-,55103.7401428571,43180.7926666667,46348.735,49087.5867722772
M305T559,305.011324168304,558.8805,[2M-H]-,1405.61746,1652.05495,1313.30888888889,1373.93958333333
M306T801,306.049347502697,801.1165,[M-H]-,22684.66368,25138.7217391305,26066.9206956521,27996.10725
M310T191_2,310.11557401981503,191.038,[M+CH3COO]-,58385.128,80443.0209047619,50113.58105,50295.5385714286
M310T319,310.115967393595,318.952,[M-H]-,395461.801964285,174974.625259259,166218.809090909,173998.31305
M310T377,310.115382658245,376.787,[M-H]-,2598.7387826087,2563.6002,2645.13476190476,2638.01426086957
M311T857,311.096958949509,856.655,[M+Na-2H]-,26128.0294814815,25786.1433846154,25268.1315555556,24947.1377777778
M315T76,315.253646440985,76.304,[M+CH3COO]-,3059.46717647059,2052.0672,1841.6138125,1951.56852380952
M317T367,317.04897769206,366.527,[M-H2O-H]-,2880.9539375,2894.75490909091,2383.10470588235,2296.9473
M317T135,317.098806799392,135.4855,[M+CH3COO]-,192013.952307693,235779.204,178859.28696,226326.247333333
M317T114,317.099162916341,114.282,[M+CH3COO]-,152415.729454545,162392.25147619,162637.076380952,138684.65475
M319T930,319.067276566492,929.6835,[2M-H]-,4433.52,5638.97206349206,5294.33000000001,5331.10262500001
M320T882,320.061404098597,881.736,[M+CH3COO]-,2101.14146666666,1287.59911111111,2392.87145454545,1764.30672000001
M321T540,321.024269189281,539.541,[M+K-2H]-,1062.0405,1528.8084,1429.75359999999,1147.07148387097
M321T742,321.050686449594,742.1395,[M-H]-,651398.064120001,786308.482166667,870472.291499997,884822.828869565
M322T831,322.044474449031,831.184,[M-H]-,18558.8933913043,26858.0981739131,31049.5412499999,30211.0832499999
M323T876,323.02869109342,875.8365,[M-H]-,6542.54645000002,8514.66096428573,8983.754,9058.32721739133
M323T798,323.028983267376,797.7455,[M-H]-,90700.606,109534.187956522,118875.064227273,127803.56973913
M323T318,323.097899654792,318.18,[M-H2O-H]-,2796.82976470589,8109.20026086956,7640.71706666666,7929.13420588235
M326T282,326.110623777739,281.7965,[M+CH3COO]-,49055.0190731707,38338.2888780488,36143.9672142857,36897.6322586207
M328T491,328.04561797078,491.249,[M-H2O-H]-,30076.337,31838.9047777778,38131.829,27396.148
M328T491,328.04561797078,491.249,[M-H]-,30076.337,31838.9047777778,38131.829,27396.148
M328T829,328.045936569186,828.82,[M-H2O-H]-,11641.6433478261,27773.0050588235,12181.3360000001,13333.74035
