name,mz,rt,X200STD_amide23_24DDA100.700_neg01,X200STD_amide23_24DDA100.700_neg02,X200STD_amide23_24DDA100.700_neg03,X200STD_amide23_24DDA100.700_neg04
M525T834,524.923449197221,833.829,1237.58838888889,2138.17253846154,2289.58599999999,2502.529
M525T944,525.103054842103,943.523,552.214857142855,615.947272727269,818.966095238099,231.240000000003
M525T67,525.199505017532,67.1295,273.118857142857,593.835,653.142857142856,744.996
M526T47,525.828727519141,47.2625,882.256,966.4,652.344333333333,1137.5936
M526T929,525.941144536844,929.464,5509.67333333332,7208.37541666664,7946.53568000002,7087.43800000001
M526T55,526.091139564414,54.729,6954.88033333333,8349.53708,3546.72,1977.5275
M526T742,526.086078222011,741.5945,983.19157894737,1539.68528571428,1679.15034408602,1381.05904761904
M527T48,526.828794749061,48.166,1989.42986666667,2674.3692631579,2300.3069375,1900.68012962963
M527T1146,526.926785842179,1146.46,8926.89057692304,7541.86052631579,7912.49352112674,7366.38540000001
M527T312,527.031534588058,312.371,1404.60264,3163.74716666666,2965.25008695652,2788.17128571429
M527T652,527.098127836721,652.14,937.925999999995,957.594545454547,817.845812499994,866.789545454542
M527T136,527.115288806976,135.941,3374.0232631579,3282.64736842105,2722.03336,2667.42925
M527T752,527.122985420539,752.441,2783.86111111112,4458.62304545455,4172.56666666668,4423.11062500002
M527T590,527.137666768339,590.4505,52639.1935714287,48563.7296428573,47549.8665151517,51108.4021818183
M527T635,527.157456442275,634.6925,8717.75800000002,11298.2258181818,10792.8773333333,11487.8160909091
M527T369,527.215300747855,368.6865,2278.16616666668,1906.74,1475.975,1658.116
M527T52,527.265085394782,51.946,257.827888888889,813.9096,614.76,691.583333333333
M527T422,527.295008243315,422.3435,1439.26569565217,2145.20678571429,1684.744,2226.11686956522
M527T41,527.304354727575,40.677,11863.4727142857,8103.60933333334,8727.322,3915.16923076923
M528T892,527.970029922738,891.9805,4121.90005,5931.66933333333,6210.39151515152,6736.67346511628
M528T931,527.971549476087,931.0855,4038.29544444444,4286.61958620691,5506.47813333335,4777.21237500001
M528T955,527.969869052796,954.744,572.483846153847,693.670714285717,644.913181818186,651.450000000005
M528T58,528.069579987097,57.922,10747.4506666667,15350.643,9294.12477777778,4851.57026666667
M528T277,528.062551769711,277.016,143.090842105263,1057.45443478261,1148.9322631579,1294.77572222222
M528T753,528.124647047889,752.524,804.599999999999,923.779999999994,1022.81377777778,995.90700000001
M528T591,528.14016062134306,591.364,12220.452,11066.8548148148,11500.2468125,12004.8901142857
M528T634,528.159642578004,634.293,1598.6463,2024.09899999999,2251.97225000001,2264.9630909091
M528T74,528.272817239857,73.57,4305.30522222222,1836.52038461538,3799.21966666667,3043.72366666667
M528T41,528.302496991207,40.677,4388.75769230769,4871.7852,3932.67771428571,2660.72836363636
M529T58,529.070380780422,57.885,5734.01095238095,5816.601,4585.469875,1646.29675
M529T316,529.114841074309,315.58,1297.97304,9836.6647826087,10255.02228,9743.63673076924
M529T591,529.141720731168,591.364,2705.32759999999,2431.96061643836,2515.27885714286,2797.764375
M529T44,529.30594768478,43.926,4829.8055625,5912.46681818182,4374.76021428571,5044.28788888889
M530T58,530.067823860434,57.856,3516.46285714286,5368.077,2762.95628571429,2164.94666666667
M530T316,530.118842539086,315.58,364.652454545454,2447.01805970149,2896.39416,2577.6627826087
M530T173,530.20690801247,172.7535,1386.35566666667,1076.6,1291.70678571429,571.900000000001
M531T781,530.969286129043,780.523,947.970210526317,983.554894736843,1347.99,1322.51145454545
M531T58,531.066445486822,57.922,1643.85692307692,2345.90958823529,1528.4885,214.271428571429
M531T369,531.185130804824,368.6865,935.84990909091,1029.34,1054.39384615384,1056.76428571428
M532T300,532.096571387881,300.04,964.891363636364,3039.65146153847,2927.65230434782,3041.14916666667
M532T438,532.257896995563,437.572,1477.67533333333,1610.692,1543.18542857143,1991.34114285715
M533T781,532.933388216267,780.6575,1380.18419047619,1347.923,1654.50508695652,1257.28842857143
M533T609,532.982647120402,609.448,3857.91413333336,4519.85444444444,4446.70133333334,4738.45278260869
M533T634,533.069845801984,634.4915,2297.84993103448,2040.6790754717,2104.31542857144,2060.08754545455
M533T738,533.075714905789,737.795,7639.5494074074,7577.31244444445,8359.90877777778,9578.86179310344
M533T956,533.111319350915,955.771,575.856000000001,1311.3418857143,688.80242307692,686.24118181818
M533T676,533.113863943436,676.4855,1128.57632258065,1045.90618181818,1210.74257777778,1304.45816666667
M533T652,533.1375065101,651.879,683.377777777779,918.914312500001,743.563124999997,923.841333333329
M533T932,533.152659254654,932.3935,2731.47199999999,1322.12086956521,1279.67618181818,2960.98472727274
M534T438,534.057132459035,437.6475,1075.8178,1187.6075,1289.9525,1225.0816875
M534T760,534.096607778366,759.9755,5530.24199999998,6393.70905000002,6505.80374999998,6757.75904761906
M535T874,535.063607055028,873.997,15003.8652063492,20599.538462963,25256.7784666667,27255.2442985075
M535T300,535.097716150302,300.001,834.209052631579,1685.95875,1728.85933333333,1957.012875
M535T760,535.099466204169,760.144,1595.95071428572,2076.78683333333,1843.42858333333,1981.35113333333
M535T69,535.12273578766,68.645,409.125,975.168133333333,1667.40123076923,1145.05828571429
M535T958,535.131420588492,957.755,1626.73915384617,77.2279999999859,1063.94925000001,1283.68551612903
M535T651,535.15248958083,651.487,22979.6724705882,34149.1625555557,31364.9297647059,36860.7599999999
M535T368,535.15507381894,368.1415,1869.804,1728.7038515625,1836.25515789473,1587.59843478261
M536T955,536.011184296736,955.366,9486.40474857143,12751.918562963,12279.6091730769,6223.32851851853
M536T760,536.098571375362,760.144,818.826166666662,875.334857142859,904.937142857132,858.07316666667
M536T704,536.11407692623,703.5035,1672.1241632653,1821.98042553191,1821.94878947369,2057.62245652174
M536T651,536.155633464723,651.487,5737.05686666665,7719.83083333331,6498.49930769233,8602.30174999995
M537T592,537.085797002288,591.5305,800.85178571429,688.657437499997,635.160947368424,488.583333333335
M537T785,537.096856406507,785.234,9168.7681666667,12247.004,13059.184875,12956.3407674419
